Month;WeekOfMonth;DayOfWeek;AccidentArea;DayOfWeekClaimed;MonthClaimed;WeekOfMonthClaimed;PolicyNumber;Fault;RepNumber;Days_Policy_Accident;Days_Policy_Claim;PoliceReportFiled;WitnessPresent;NumberOfSuppliments;AddressChange_Claim;Year;FraudFound_P;Make;Sex;MaritalStatus;Age;VehicleCategory;VehiclePrice;Deductible;DriverRating;PastNumberOfClaims;AgeOfVehicle;AgentType;NumberOfCars;BasePolicy
Oct;5;Monday;Urban;Tuesday;Oct;5;8023;Third Party;8;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Honda;Male;Single;40;Sedan;less than 20000;400;2;none;7 years;External;1 vehicle;All Perils
Sep;2;Sunday;Urban;Tuesday;Sep;3;10873;Policy Holder;11;more than 30;more than 30;No;No;more than 5;no change;1995;0;Pontiac;Male;Married;54;Sedan;20000 to 29000;400;1;1;7 years;External;1 vehicle;All Perils
Dec;5;Thursday;Rural;Wednesday;Jan;2;10646;Policy Holder;11;more than 30;more than 30;No;No;none;no change;1995;0;Toyota;Female;Single;29;Sport;more than 69000;400;1;2 to 4;3 years;External;1 vehicle;Liability
Apr;1;Tuesday;Urban;Tuesday;Apr;3;20995;Policy Holder;16;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Honda;Male;Married;43;Sedan;20000 to 29000;700;2;1;7 years;External;1 vehicle;All Perils
Sep;1;Thursday;Urban;Friday;Sep;1;25181;Third Party;3;more than 30;more than 30;No;No;none;no change;1994;0;Mazda;Male;Married;60;Sedan;20000 to 29000;400;3;1;more than 7;External;1 vehicle;All Perils
Mar;2;Thursday;Urban;Thursday;Mar;3;12896;Third Party;4;more than 30;more than 30;No;No;more than 5;no change;1995;0;Honda;Male;Married;41;Sport;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Liability
Feb;4;Friday;Urban;Friday;Feb;4;11436;Policy Holder;10;more than 30;more than 30;No;No;more than 5;no change;1994;0;Accura;Male;Married;29;Sedan;more than 69000;400;2;more than 4;7 years;External;1 vehicle;Collision
Aug;2;Monday;Urban;Wednesday;Oct;1;41086;Policy Holder;16;more than 30;more than 30;No;No;none;no change;1996;0;Pontiac;Male;Married;61;Sedan;20000 to 29000;400;2;1;more than 7;External;1 vehicle;Collision
Dec;2;Tuesday;Urban;Thursday;Dec;3;44123;Policy Holder;3;more than 30;more than 30;No;No;more than 5;no change;1995;0;Ford;Female;Single;31;Sport;30000 to 39000;400;1;none;7 years;External;1 vehicle;Liability
Sep;4;Wednesday;Urban;Thursday;Sep;4;35266;Third Party;12;more than 30;more than 30;No;No;1 to 2;no change;1996;0;Honda;Male;Single;27;Sport;30000 to 39000;400;4;more than 4;6 years;External;1 vehicle;Liability
Feb;3;Friday;Urban;Thursday;Feb;4;3163;Policy Holder;8;more than 30;more than 30;No;No;1 to 2;no change;1995;0;Mazda;Male;Single;33;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision
Sep;3;Friday;Urban;Wednesday;Sep;5;31955;Policy Holder;6;more than 30;more than 30;No;No;none;no change;1995;1;Mazda;Male;Married;36;Sedan;30000 to 39000;400;3;1;7 years;External;1 vehicle;Collision
Mar;1;Wednesday;Urban;Monday;Mar;4;41140;Policy Holder;3;more than 30;more than 30;No;No;more than 5;no change;1995;0;Mazda;Male;Married;36;Sedan;20000 to 29000;400;2;none;more than 7;External;1 vehicle;Collision
Oct;3;Sunday;Urban;Wednesday;Oct;3;21582;Policy Holder;13;more than 30;more than 30;No;No;3 to 5;no change;1996;0;Mazda;Male;Married;41;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;Collision
Dec;4;Saturday;Urban;Thursday;Feb;2;30512;Policy Holder;8;more than 30;more than 30;No;No;more than 5;no change;1995;1;Toyota;Male;Married;46;Sedan;more than 69000;400;4;none;more than 7;External;1 vehicle;All Perils
Apr;5;Thursday;Urban;Tuesday;May;1;38993;Third Party;13;more than 30;more than 30;No;No;more than 5;no change;1995;0;Toyota;Male;Married;63;Sedan;more than 69000;400;1;1;more than 7;External;1 vehicle;All Perils
Oct;2;Friday;Urban;Wednesday;Nov;1;47572;Policy Holder;10;more than 30;more than 30;No;No;more than 5;no change;1995;0;Honda;Male;Married;34;Sedan;40000 to 59000;400;3;none;7 years;External;3 to 4;Collision
Aug;3;Monday;Urban;Monday;Aug;4;6571;Policy Holder;15;more than 30;more than 30;No;No;none;no change;1995;0;Pontiac;Male;Married;27;Sedan;20000 to 29000;400;2;none;7 years;External;1 vehicle;All Perils
Apr;1;Wednesday;Urban;Thursday;Apr;2;3310;Policy Holder;7;more than 30;more than 30;No;No;1 to 2;no change;1995;0;Honda;Female;Single;26;Sport;20000 to 29000;400;4;more than 4;6 years;External;1 vehicle;Liability
Jun;4;Wednesday;Urban;Monday;Jun;4;11977;Third Party;7;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Toyota;Male;Married;39;Sedan;20000 to 29000;700;4;none;more than 7;External;1 vehicle;All Perils
Nov;5;Tuesday;Urban;Tuesday;Dec;4;26749;Policy Holder;8;more than 30;more than 30;No;No;none;no change;1995;0;Toyota;Male;Single;31;Sedan;less than 20000;400;3;1;6 years;External;1 vehicle;All Perils
