PolicyNumber;Make;Sex;MaritalStatus;Age;VehicleCategory;VehiclePrice;Deductible;DriverRating;PastNumberOfClaims;AgeOfVehicle;AgentType;NumberOfCars;BasePolicy;FraudFound_P
8023;Honda;Male;Single;40;Sedan;less than 20000;400;2;none;7 years;External;1 vehicle;All Perils;0
10873;Pontiac;Male;Married;54;Sedan;20000 to 29000;400;1;1;7 years;External;1 vehicle;All Perils;0
10646;Toyota;Female;Single;29;Sport;more than 69000;400;1;2 to 4;3 years;External;1 vehicle;Liability;0
20995;Honda;Male;Married;43;Sedan;20000 to 29000;700;2;1;7 years;External;1 vehicle;All Perils;0
25181;Mazda;Male;Married;60;Sedan;20000 to 29000;400;3;1;more than 7;External;1 vehicle;All Perils;0
12896;Honda;Male;Married;41;Sport;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Liability;0
11436;Accura;Male;Married;29;Sedan;more than 69000;400;2;more than 4;7 years;External;1 vehicle;Collision;0
41086;Pontiac;Male;Married;61;Sedan;20000 to 29000;400;2;1;more than 7;External;1 vehicle;Collision;0
44123;Ford;Female;Single;31;Sport;30000 to 39000;400;1;none;7 years;External;1 vehicle;Liability;0
35266;Honda;Male;Single;27;Sport;30000 to 39000;400;4;more than 4;6 years;External;1 vehicle;Liability;0
3163;Mazda;Male;Single;33;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
31955;Mazda;Male;Married;36;Sedan;30000 to 39000;400;3;1;7 years;External;1 vehicle;Collision;1
41140;Mazda;Male;Married;36;Sedan;20000 to 29000;400;2;none;more than 7;External;1 vehicle;Collision;0
21582;Mazda;Male;Married;41;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;Collision;0
30512;Toyota;Male;Married;46;Sedan;more than 69000;400;4;none;more than 7;External;1 vehicle;All Perils;1
38993;Toyota;Male;Married;63;Sedan;more than 69000;400;1;1;more than 7;External;1 vehicle;All Perils;0
47572;Honda;Male;Married;34;Sedan;40000 to 59000;400;3;none;7 years;External;3 to 4;Collision;0
6571;Pontiac;Male;Married;27;Sedan;20000 to 29000;400;2;none;7 years;External;1 vehicle;All Perils;0
3310;Honda;Female;Single;26;Sport;20000 to 29000;400;4;more than 4;6 years;External;1 vehicle;Liability;0
11977;Toyota;Male;Married;39;Sedan;20000 to 29000;700;4;none;more than 7;External;1 vehicle;All Perils;0
26749;Toyota;Male;Single;31;Sedan;less than 20000;400;3;1;6 years;External;1 vehicle;All Perils;0
45779;Chevrolet;Male;Single;45;Sedan;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Collision;1
16793;Toyota;Male;Married;27;Sedan;20000 to 29000;400;3;1;6 years;External;1 vehicle;Collision;0
18939;Honda;Male;Married;76;Sedan;less than 20000;400;1;none;6 years;External;1 vehicle;Collision;0
43228;Chevrolet;Female;Single;36;Sport;20000 to 29000;400;1;none;7 years;External;1 vehicle;Liability;0
17196;Pontiac;Male;Married;53;Sedan;less than 20000;400;3;1;more than 7;External;1 vehicle;All Perils;0
1588;Toyota;Female;Single;45;Sedan;20000 to 29000;400;1;none;more than 7;External;1 vehicle;Collision;0
915;Mazda;Male;Married;78;Sport;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
28844;Honda;Male;Married;51;Sport;20000 to 29000;400;2;1;more than 7;External;1 vehicle;Liability;0
